,time,origin,value
0,1675209600000.0,3,275.2464294433594
1,1675210500000.0,3,275.00628662109375
2,1675211400000.0,3,274.89117431640625
3,1675212300000.0,3,274.936279296875
4,1675213200000.0,3,275.04229736328125
5,1675214100000.0,3,275.1202087402344
6,1675215000000.0,3,275.084716796875
7,1675215900000.0,3,274.9827880859375
8,1675216800000.0,3,274.85040283203125
9,1675217700000.0,3,274.7259826660156
10,1675218600000.0,3,274.42950439453125
11,1675219500000.0,3,274.4731140136719
12,1675220400000.0,3,274.2925109863281
13,1675221300000.0,3,274.21844482421875
14,1675222200000.0,3,274.3938903808594
15,1675223100000.0,3,274.0540466308594
16,1675224000000.0,3,273.9502258300781
17,1675224900000.0,3,274.2078552246094
18,1675225800000.0,3,274.0770263671875
19,1675226700000.0,3,274.20208740234375
20,1675227600000.0,3,274.3739929199219
21,1675228500000.0,3,274.29510498046875
22,1675229400000.0,3,274.03228759765625
23,1675230300000.0,3,273.9278564453125
24,1675231200000.0,3,274.37371826171875
25,1675232100000.0,3,274.4317626953125
26,1675233000000.0,3,274.44268798828125
27,1675233900000.0,3,274.32574462890625
28,1675234800000.0,3,274.18389892578125
29,1675235700000.0,3,274.1412048339844
30,1675236600000.0,3,274.2455749511719
31,1675237500000.0,3,274.5352783203125
32,1675238400000.0,3,274.5552978515625
33,1675239300000.0,3,274.5373229980469
34,1675240200000.0,3,274.67303466796875
35,1675241100000.0,3,274.8001708984375
36,1675242000000.0,3,274.9904479980469
37,1675242900000.0,3,274.9923095703125
38,1675243800000.0,3,275.01470947265625
39,1675244700000.0,3,275.1379699707031
40,1675245600000.0,3,275.25067138671875
41,1675246500000.0,3,275.3112487792969
42,1675247400000.0,3,275.3868103027344
43,1675248300000.0,3,275.31182861328125
44,1675249200000.0,3,275.2142333984375
45,1675250100000.0,3,275.1674499511719
46,1675251000000.0,3,275.22760009765625
47,1675251900000.0,3,275.282470703125
48,1675252800000.0,3,275.3675842285156
49,1675253700000.0,3,275.4291687011719
50,1675254600000.0,3,275.3093566894531
51,1675255500000.0,3,275.0039978027344
52,1675256400000.0,3,274.66741943359375
53,1675257300000.0,3,274.75286865234375
54,1675258200000.0,3,274.8586120605469
55,1675259100000.0,3,274.89556884765625
56,1675260000000.0,3,274.8132629394531
57,1675260900000.0,3,274.8877258300781
58,1675261800000.0,3,274.7403869628906
59,1675262700000.0,3,274.6670837402344
60,1675263600000.0,3,274.5610046386719
61,1675264500000.0,3,274.374755859375
62,1675265400000.0,3,274.0959777832031
63,1675266300000.0,3,274.20904541015625
64,1675267200000.0,3,274.435302734375
65,1675268100000.0,3,274.4618225097656
66,1675269000000.0,3,273.880126953125
67,1675269900000.0,3,273.595947265625
68,1675270800000.0,3,273.83538818359375
69,1675271700000.0,3,273.4825134277344
70,1675272600000.0,3,273.2313232421875
71,1675273500000.0,3,273.30157470703125
72,1675274400000.0,3,274.5099182128906
73,1675275300000.0,3,274.56402587890625
74,1675276200000.0,3,274.5867919921875
75,1675277100000.0,3,274.4897766113281
76,1675278000000.0,3,274.3802490234375
77,1675278900000.0,3,274.25250244140625
78,1675279800000.0,3,274.2325134277344
79,1675280700000.0,3,274.084228515625
80,1675281600000.0,3,274.0932922363281
81,1675282500000.0,3,273.9322814941406
82,1675283400000.0,3,273.87310791015625
83,1675284300000.0,3,273.8058166503906
84,1675285200000.0,3,273.88275146484375
85,1675286100000.0,3,273.8225402832031
86,1675287000000.0,3,273.5628662109375
87,1675287900000.0,3,273.54266357421875
88,1675288800000.0,3,273.6734619140625
89,1675289700000.0,3,273.4109191894531
90,1675290600000.0,3,273.4056396484375
91,1675291500000.0,3,272.9039611816406
92,1675292400000.0,3,272.21807861328125
93,1675293300000.0,3,272.07171630859375
94,1675294200000.0,3,271.5672302246094
95,1675295100000.0,3,271.65887451171875
96,1675296000000.0,3,271.5959777832031
97,1675296900000.0,3,271.4730529785156
98,1675297800000.0,3,270.7146911621094
99,1675298700000.0,3,272.2989196777344
100,1675299600000.0,3,273.2279052734375
